m,T,N,alpha,sigma_m,Sample Entropy Position,Sample Entropy Velocity,Sample Entropy Acceleration,Std Position,Std Velocity,Std Acceleration
2,0.01,100,0.1,1000,0.02413695485824836,0.050585425013804634,0.6712928099197719,0.023877526421360956,0.06252017600998448,0.21654596166082493
2,0.01,100,0.1,2000,0.03208723878722011,0.06361115722186503,0.7476436906927759,0.043429642750273376,0.07334040548916862,0.24736572700418663
2,0.01,100,0.1,5000,0.023634633085293646,0.056344998094777124,0.6781410008448527,0.02236057145227802,0.05914152141796315,0.23658854019984166
2,0.01,100,0.1,10000,0.02914784654485017,0.07307498018019622,0.7051150726350159,0.032323431592288954,0.08188465920690413,0.2675995079983146
2,0.01,100,0.5,1000,0.030324767853819514,0.07304580527903991,0.6714459787628116,0.04178313145062173,0.07610663912468066,0.17579985003266504
2,0.01,100,0.5,2000,0.03186900378532674,0.057143012385145735,0.6924477170788053,0.04101750484448342,0.06340363794364219,0.2260378762527275
2,0.01,100,0.5,5000,0.028491083000232703,0.048042697745017966,0.7256242789247362,0.039930916709572675,0.05830922354305014,0.23968063327266456
2,0.01,100,0.5,10000,0.025639126837471347,0.05763617975786399,0.6509140254672532,0.03355440753245901,0.06948601200581994,0.20450727975114477
2,0.01,100,1.0,1000,0.024544311239921977,0.08334628556154858,0.7331586255130347,0.034660821764612625,0.09651916762164235,0.24188346478225717
2,0.01,100,1.0,2000,0.0259497543293618,0.05720845911871531,0.7689717793404158,0.035652904795725554,0.06365392260229519,0.22506060151463686
2,0.01,100,1.0,5000,0.024953093961325386,0.06425511185970204,0.7259534025987598,0.028887314517391325,0.07060210985214899,0.2251808089599598
2,0.01,100,1.0,10000,0.018793552048587004,0.0450598283964354,0.7054617335216213,0.02694250536116398,0.05181581261949302,0.1990918477882732
2,0.01,100,2.0,1000,0.03667395554487014,0.08741584822577719,0.816264348052523,0.046291295386153467,0.08426790048619197,0.21531771652060266
2,0.01,100,2.0,2000,0.029531314321572154,0.09046690945735815,0.731474608651282,0.040509641646412416,0.08732443541223613,0.1858936845515873
2,0.01,100,2.0,5000,0.022397946039374093,0.07047371177361426,0.7583472593394159,0.023848930251908217,0.06788421616738673,0.21804624117063415
2,0.01,100,2.0,10000,0.03916238892313359,0.09130030798169736,0.7578350534040535,0.04890724575784485,0.09403711688685418,0.2115753406684937
2,0.01,100,5.0,1000,0.02942939011513359,0.10881923706396057,0.910603822859826,0.03945006754166071,0.08083782452014494,0.18619022847426914
2,0.01,100,5.0,2000,0.03656165698804436,0.1292352414608873,0.8565065984723473,0.05162569267685902,0.08855499099598971,0.16094843091177377
2,0.01,100,5.0,5000,0.04138561406801071,0.1341410128129541,0.8720977934462776,0.05689891973484638,0.10595767333769675,0.1821002508644421
2,0.01,100,5.0,10000,0.04329074495281562,0.138396248486595,0.9262409080780452,0.058520985788243114,0.10614670203404877,0.1872387306955283
2,0.01,500,0.1,1000,0.004566737384230517,0.009005573260406383,0.3957888022590002,0.006073115081057734,0.007951156938381953,0.17676685948623558
2,0.01,500,0.1,2000,0.0037452667949326446,0.011726107255559176,0.36944847038185485,0.005297392646611927,0.009598347243189703,0.14096729475709738
2,0.01,500,0.1,5000,0.003690144932803937,0.013373357235846112,0.35930752202652416,0.003698123830056268,0.017403907159128252,0.1589069605346206
2,0.01,500,0.1,10000,0.0049566444616492445,0.013759647529787254,0.40929951394070385,0.006186051535190507,0.01557697476026712,0.15013708101914833
2,0.01,500,0.5,1000,0.006086478159315941,0.011458252125435253,0.41640341311376566,0.007196090700930759,0.009931777335702706,0.14905400743238004
2,0.01,500,0.5,2000,0.004063027683322666,0.012039610715200868,0.46314422941600286,0.004945091021448284,0.011126410889315607,0.1568369866301126
2,0.01,500,0.5,5000,0.004932608517136345,0.01605196092102611,0.4066819333211235,0.00712562899918159,0.019986231370342736,0.11732335604545935
2,0.01,500,0.5,10000,0.004572398518667788,0.01747237408941428,0.4054352731854426,0.0051860552978958505,0.01368365681482851,0.13466363833935463
2,0.01,500,1.0,1000,0.00509568435403479,0.01894352853651724,0.5178736173970633,0.006646108798478116,0.014875465509098565,0.1325195706750267
2,0.01,500,1.0,2000,0.004805003513199585,0.020895590659519025,0.4692434170892198,0.005587090885364376,0.01673355706555621,0.12857847693398314
2,0.01,500,1.0,5000,0.00594017746503455,0.019473879292604728,0.495749729053976,0.00811501180796898,0.01760955236501758,0.1282175328939407
2,0.01,500,1.0,10000,0.0062547250996318245,0.020502771033646554,0.48146739096156016,0.007796449186716409,0.014978298530997643,0.13348903383101837
2,0.01,500,2.0,1000,0.006699699816302098,0.023841916440497903,0.6233968837710363,0.0068656713711983605,0.014117891795616911,0.13028699116539233
2,0.01,500,2.0,2000,0.005186328172681397,0.02821387942017484,0.5829213879043915,0.006752499599878387,0.016581768535827417,0.10970841983938304
2,0.01,500,2.0,5000,0.006875679008019987,0.02966641791685281,0.5938381745250313,0.00783201870379109,0.016854308828085186,0.1187037568768403
2,0.01,500,2.0,10000,0.006465741688345786,0.028792387792441528,0.6440312200375172,0.009007217593064339,0.02225551213331621,0.13462283051333043
2,0.01,500,5.0,1000,0.009892787010467016,0.05990362887593553,0.8153955154828647,0.013080593464452325,0.03862519653572648,0.0951850690656118
2,0.01,500,5.0,2000,0.007678614133258187,0.05093688904954959,0.8178435325137721,0.010169705395650696,0.034332074013148264,0.08368130489645313
