N,n,Sample Entropy,Std
100,1000,0.05109269343602268,0.06508081414064665
100,2000,0.04934617685784156,0.06670075253535154
100,5000,0.05277415166896216,0.061940001056125536
100,10000,0.06255689251628366,0.07377923916396596
100,15000,0.05825129674098786,0.06554065799379963
100,20000,0.03845481610735325,0.05426168407378059
100,30000,0.04726537837047899,0.06178453216207339
100,50000,0.04664546455297065,0.05973832728872493
500,1000,0.009168754873247217,0.010052242239272473
500,2000,0.007096795185624595,0.007252106339446099
500,5000,0.009542464383733417,0.010134609116185116
500,10000,0.010274783086253373,0.010973097760369362
500,15000,0.00957032115467284,0.011309039236636632
500,20000,0.007304321613416997,0.00798391084630499
500,30000,0.009480694285846452,0.012023004075121163
500,50000,0.009919864558381375,0.010055430642834522
1000,1000,0.004226990632517465,0.005456856326265839
1000,2000,0.004983345327305624,0.005625957399985599
1000,5000,0.0056644829819284225,0.006455061234050869
1000,10000,0.00520766747254512,0.005910480226992675
1000,15000,0.004541745590878996,0.005224390091111798
1000,20000,0.004238401284137654,0.0046681500835898775
1000,30000,0.005412651745594185,0.005799971337261194
1000,50000,0.005342870194412614,0.00517897298706843
2000,1000,0.0022200483708984626,0.002534573426733093
2000,2000,0.0026551451258859018,0.0030305427901731303
2000,5000,0.0023350198875547908,0.002586546309425746
2000,10000,0.0026414418985732874,0.00317753238455455
2000,15000,0.002157691735385855,0.0025852379466843496
2000,20000,0.0024081058613431403,0.002739384903881143
2000,30000,0.0025869549845291967,0.0026255826907692096
2000,50000,0.002269967289484009,0.0027338952950171627
5000,1000,0.0007668937692216141,0.0009472682410274752
5000,2000,0.0010909512391023822,0.0012666452317735305
5000,5000,0.0009127210797636725,0.0010883970556194618
5000,10000,0.0008811597952877404,0.000952226236829439
5000,15000,0.0008394186696940725,0.0009669883110039303
5000,20000,0.001036248957201779,0.001363763697986294
5000,30000,0.0009737178470469748,0.0012408265488530097
5000,50000,0.000890495371270059,0.0012149566747567842
10000,1000,0.0004838671026610765,0.0005441533499856528
10000,2000,0.0005794856660089621,0.0006437841229155269
10000,5000,0.0004637229806422577,0.0005750891741110439
10000,10000,0.0004399629233159359,0.0005223722961142075
10000,15000,0.000406425614279275,0.0005380379064891115
10000,20000,0.00038329306836831604,0.0004164202320027293
10000,30000,0.0004068690550061676,0.0005076219295397039
10000,50000,0.0004255631430752967,0.00045129822140639445
