alpha,sigma_m,Sample Entropy,Std
0.1,1000,0.04020622256085647,0.019866194451098093
0.1,2000,0.041258661810743905,0.017520697395869773
0.1,5000,0.039175559061523105,0.018067796502923096
0.1,10000,0.03562958188058608,0.016615680255145114
0.1,15000,0.040172565497338664,0.019418403406283796
0.1,20000,0.039273872929301755,0.019040399757092662
0.1,30000,0.03970303216096943,0.018050871594220298
0.1,50000,0.03968847197843362,0.01898734067604858
0.5,1000,0.08744207577020674,0.0506828407268131
0.5,2000,0.07954297157721656,0.03336003501263768
0.5,5000,0.08818780013127159,0.04209882070010559
0.5,10000,0.08026067114058427,0.037942343826472186
0.5,15000,0.08986948954738544,0.04315511136613398
0.5,20000,0.09226345500626609,0.04845950427082311
0.5,30000,0.09268361010828408,0.05272144175410512
0.5,50000,0.08201408269227672,0.04492018517347147
1.0,1000,0.11294483846317081,0.05602366183595303
1.0,2000,0.10882162840787364,0.05776442263670429
1.0,5000,0.11813306081414902,0.0571636707191644
1.0,10000,0.11665511289491633,0.06158160329905986
1.0,15000,0.10916022854976118,0.05671579696553474
1.0,20000,0.1156394249739289,0.05566560096004878
1.0,30000,0.11002232110741497,0.05687060357593666
1.0,50000,0.11240450268158146,0.06585521899101605
2.0,1000,0.12512746300315036,0.06538413718945345
2.0,2000,0.12824084453089993,0.0666049037945834
2.0,5000,0.1343141607552586,0.06308383350676837
2.0,10000,0.13320762054453872,0.06352411930394845
2.0,15000,0.13313912051248333,0.06534638757672853
2.0,20000,0.1353695414425686,0.06008453193205562
2.0,30000,0.14107220815305288,0.07343138365089208
2.0,50000,0.13339505949986782,0.06717965365486182
5.0,1000,0.1453400891102183,0.06793279673105995
5.0,2000,0.14764503396179818,0.06940523264299286
5.0,5000,0.16464783936584054,0.07844407830698166
5.0,10000,0.1419180769743279,0.07003026276229649
5.0,15000,0.15602048680033975,0.07676390741227436
5.0,20000,0.14759663643245263,0.08180949684264237
5.0,30000,0.15510540544501322,0.07986308380217119
5.0,50000,0.15365011592518305,0.07854016046233515
