N,sigma_m,Sample Entropy,Std
100,1000,0.06271057148589192,0.07864922290552404
100,2000,0.051070473419514706,0.056693751023801545
100,5000,0.0611548057504094,0.07772157630777869
100,10000,0.05232456064628953,0.06403618999935966
100,15000,0.05550873298027834,0.06528660308375117
100,20000,0.03847543325970939,0.05383567124164932
100,30000,0.05629890459833213,0.07341616061717715
100,50000,0.06411096263857297,0.0777163112320293
500,1000,0.010598726132937393,0.014727475173005659
500,2000,0.009553981318330112,0.013441705262007065
500,5000,0.009357658448023234,0.010349692149187172
500,10000,0.009433421435055269,0.010836681807095934
500,15000,0.008679419714208509,0.010945059866878576
500,20000,0.009397643715777735,0.01061494798092057
500,30000,0.00885595088403088,0.010891897311853147
500,50000,0.012540303270619495,0.01570521244606207
1000,1000,0.004649130399160655,0.005630638239778607
1000,2000,0.0049750097878196895,0.006004154074190406
1000,5000,0.00507613609300142,0.006666716463501931
1000,10000,0.00479795904014876,0.006354068407488028
1000,15000,0.0037234988105111894,0.004845088697483662
1000,20000,0.004732522674593797,0.005052483109536383
1000,30000,0.005390190387881463,0.006149161634384553
1000,50000,0.00427360592489351,0.005314809917822244
2000,1000,0.002411001226131286,0.0028438281689877384
2000,2000,0.002334299131819521,0.0027213627492804825
2000,5000,0.0018633748330056535,0.0021174078062095275
2000,10000,0.0020227597529568105,0.002247402881275237
2000,15000,0.0020457441098000345,0.0024041914053419032
2000,20000,0.0024756773639260975,0.002710509464192294
2000,30000,0.0022194595958882606,0.002691030289034214
2000,50000,0.0024355797440274076,0.0029553692007778885
5000,1000,0.0009523345026652588,0.0010214138050604307
5000,2000,0.000888926793338139,0.0008806806427444857
5000,5000,0.000971565705723856,0.0012786926517410996
5000,10000,0.0007511418655329468,0.0010315342403443865
5000,15000,0.0010866500267028853,0.001243651666895457
5000,20000,0.0007567136692490351,0.0009875032274692319
5000,30000,0.0009096913898025955,0.0012013707679763858
5000,50000,0.0009576619042972391,0.001012986290981477
10000,1000,0.0005464107490177221,0.0007154265554220005
10000,2000,0.0005116222110897277,0.0006070462948738991
10000,5000,0.000512807508753169,0.00053889155557441
10000,10000,0.00042274224836176907,0.0005016405806079318
10000,15000,0.0005496164132531122,0.0006559464931785303
10000,20000,0.000566918654615149,0.0007295764486225654
10000,30000,0.0005640856194681867,0.0007039456352903106
10000,50000,0.0004834769708498768,0.0006137785327483292
