T,n,Sample Entropy v_est,Std
0.01,1000,0.0020718585694525743,0.0024131382569662382
0.01,2000,0.0022974003674252536,0.002673977849598256
0.01,5000,0.0024186640012625296,0.0029498638416101367
0.01,10000,0.002160724264093663,0.0023795326010857456
0.01,15000,0.002332124536362129,0.0030179903385741556
0.01,20000,0.00231692042934901,0.002722750507498567
0.01,30000,0.002707604042547874,0.003152162563476584
0.01,50000,0.0023889098389899333,0.0026969328790311417
0.1,1000,0.002202559828506912,0.00290290319056218
0.1,2000,0.0028688485463182287,0.0032854517210478365
0.1,5000,0.0023533757508608904,0.0025166427221541164
0.1,10000,0.0024815810208307513,0.0027438929308737825
0.1,15000,0.002460604567031468,0.0027523274155623776
0.1,20000,0.0024539193614314054,0.0026491712208412906
0.1,30000,0.00232945546253575,0.0026794689145603783
0.1,50000,0.002575166260294411,0.0027967122261946214
0.5,1000,0.0024473000395232604,0.0037357383671645845
0.5,2000,0.0028244856923092584,0.0033618728918039264
0.5,5000,0.0027405786028327165,0.0029349897206345683
0.5,10000,0.0018802462988834515,0.0021343642274794647
0.5,15000,0.0024416676729982815,0.0031091878187980036
0.5,20000,0.0024854309681993816,0.0028647243357562266
0.5,30000,0.0030830164358484945,0.003605946795629137
0.5,50000,0.002306820840061531,0.0025671546559071275
1.0,1000,0.001999309999741614,0.0023855549313223194
1.0,2000,0.0022143105515381456,0.002509445425022095
1.0,5000,0.002391294018372913,0.0024621061724094703
1.0,10000,0.001978979730594828,0.00228116994911097
1.0,15000,0.0024951542560957695,0.003340818612226398
1.0,20000,0.002033473740634563,0.0025305924586289308
1.0,30000,0.0022213174661068584,0.0024262400008223505
1.0,50000,0.002616155124672269,0.0029369129961484166
10.0,1000,0.0018148271042049034,0.002127583392686168
10.0,2000,0.0027179750840597445,0.002771509632700522
10.0,5000,0.0024546880769761147,0.0025674430929114493
10.0,10000,0.0021731960046998517,0.0027334612407462922
10.0,15000,0.0022619915108834116,0.002675058645127391
10.0,20000,0.0024672281695704203,0.0025444687824743508
10.0,30000,0.0020967089224787475,0.002301207969557311
10.0,50000,0.002277362223591857,0.0029646129916408863
15.0,1000,0.002324285052018325,0.003598183526465589
15.0,2000,0.0027434404336388945,0.002796773802387147
15.0,5000,0.0018686701981310864,0.002267549003097064
15.0,10000,0.0026656259121096374,0.002938937865267312
15.0,15000,0.0023719197103668683,0.0026937966259778924
15.0,20000,0.0020131959247556563,0.0025470306642554385
15.0,30000,0.002865887063970464,0.0037832981222409084
15.0,50000,0.0021856348662773716,0.0022518681794737668
20.0,1000,0.0022013544442256506,0.002571969866500251
20.0,2000,0.0016049240666841007,0.0018850918062850318
20.0,5000,0.002664661868768025,0.003075414227102637
20.0,10000,0.002709695363788564,0.0028019708638584895
20.0,15000,0.0023393912395989467,0.0022257995383576125
20.0,20000,0.002157550526660064,0.0029691924100295544
20.0,30000,0.0026003549696318714,0.0026628276378617387
20.0,50000,0.0020054877291899465,0.0023662485704494234
60.0,1000,0.001974762952683695,0.002702598945116868
60.0,2000,0.0018032027065247543,0.0021663924825019625
60.0,5000,0.0019680946636217497,0.0023510111945590504
60.0,10000,0.0031501527112369043,0.004186515106112491
60.0,15000,0.002073672571866577,0.00261879090911557
60.0,20000,0.0025364277373789356,0.002995345377909711
60.0,30000,0.002365367606850624,0.0025657704472269115
60.0,50000,0.0022702838579066013,0.0025550104637825405
