N,n,Sample Entropy,Std
100,1000,1.1419516304860535,0.1405908579502763
100,2000,1.1524004068595353,0.1601175851205735
100,5000,1.1595618393938438,0.13892312426625772
100,10000,1.153682206324174,0.1709460798274602
100,15000,1.158551390216169,0.16425691717369292
100,20000,1.1384402253443,0.14267170368843782
100,30000,1.145858076871618,0.15623343637318254
100,50000,1.1437604980224427,0.15964674314665908
500,1000,1.8192200393788438,0.062445239968438045
500,2000,1.8224493713763572,0.05983856809193006
500,5000,1.8231301723489088,0.05736533709098098
500,10000,1.8144053538261629,0.05127139668052658
500,15000,1.8158921939909478,0.05928495758809439
500,20000,1.8250815210325486,0.05671067391613517
500,30000,1.8175955998645446,0.053350803693006946
500,50000,1.8246688747437567,0.05720807357554035
1000,1000,1.9709209814829722,0.034153530111482124
1000,2000,1.9601337900169644,0.0334695285112682
1000,5000,1.9683890606594736,0.034376498826951686
1000,10000,1.9656566234190416,0.032877333368629504
1000,15000,1.9704338101170122,0.03484531757527853
1000,20000,1.9680093979100395,0.0353887512679862
1000,30000,1.9622509340858736,0.03316732365768748
1000,50000,1.9677805800183472,0.029034459587100252
2000,1000,2.055824163928553,0.021134045583260066
2000,2000,2.0537703434445116,0.023294873134857945
2000,5000,2.0564507525015907,0.022539698906739777
2000,10000,2.0529276148140156,0.0174112708460174
2000,15000,2.0553046134656974,0.019449002395638737
2000,20000,2.05226615783742,0.018700228028771956
2000,30000,2.051540364916609,0.01901500059378111
2000,50000,2.058311733055376,0.017667852431732273
5000,1000,2.1126553980628575,0.008449070181558231
5000,2000,2.1115957013541276,0.010303023825796391
5000,5000,2.11168242576943,0.012405522995853792
5000,10000,2.109951661001102,0.010840013529429975
5000,15000,2.111236214077607,0.010850625708748679
5000,20000,2.1117471387288362,0.011709575164009882
5000,30000,2.1117662261314605,0.011050957557969998
5000,50000,2.112170619399475,0.010677300073966237
10000,1000,2.131555754037965,0.007178071877627171
10000,2000,2.130738345331081,0.006008021979621433
10000,5000,2.1315805613835663,0.006590302794064102
10000,10000,2.1300694595366747,0.006785118680013253
10000,15000,2.1307050017089444,0.0061974775036655804
10000,20000,2.1310377641762255,0.006974316857972298
10000,30000,2.131252297071398,0.006901037342276666
10000,50000,2.1302899748875017,0.005691168907168493
