T,sigma_m,Sample Entropy,Std
0.01,1000,0.011440177270220684,0.005965530299477369
0.01,2000,0.010879159197579858,0.006845372248520665
0.01,5000,0.010854710548697894,0.005770259553565302
0.01,10000,0.010433669114954934,0.005364122659581197
0.01,15000,0.01093968537688679,0.006197286224326399
0.01,20000,0.01072449741901085,0.006390596368282535
0.01,30000,0.01007787035188421,0.005743802358123906
0.01,50000,0.010458115269700695,0.006460104260772852
0.1,1000,0.04171942377410864,0.018137782495148993
0.1,2000,0.037235318523693973,0.01588596595981861
0.1,5000,0.038362653859313645,0.016319329176324004
0.1,10000,0.039460240096822884,0.01888628063516481
0.1,15000,0.040467686579397595,0.01858915871167644
0.1,20000,0.03767904254394904,0.01716673466794492
0.1,30000,0.03968375516000261,0.0180573049310937
0.1,50000,0.040119096160344966,0.019546479483724972
0.5,1000,0.08094166006032494,0.03543926347840929
0.5,2000,0.08726035428668152,0.04503801331212209
0.5,5000,0.09048112411022774,0.04122509051135489
0.5,10000,0.08559854345420119,0.040954995016306076
0.5,15000,0.08787630834173331,0.04312587683258558
0.5,20000,0.08928422759764415,0.05211632606855509
0.5,30000,0.09872362674517428,0.04730446488024549
0.5,50000,0.09377195248638161,0.04392976875740239
1.0,1000,0.11459071274441905,0.054759328255726
1.0,2000,0.11446625437792585,0.049757819215621925
1.0,5000,0.09982317004622994,0.04926921568391126
1.0,10000,0.10913790140859007,0.05368588823649727
1.0,15000,0.11646957324688527,0.05669369331704388
1.0,20000,0.1252836986470707,0.06197315187354131
1.0,30000,0.12501121508400684,0.05747908241481924
1.0,50000,0.12284396291254789,0.0645523552332977
10.0,1000,0.1605449658234652,0.08868355402570174
10.0,2000,0.16729716660744057,0.09153894808393938
10.0,5000,0.16041420932702014,0.08650441148635125
10.0,10000,0.16460432974772957,0.07718020226890261
10.0,15000,0.15150367822424163,0.07466759687033173
10.0,20000,0.15132300317289682,0.0840606984168934
10.0,30000,0.14853247248995516,0.08518252059645579
10.0,50000,0.15510673063754332,0.07063625182402224
15.0,1000,0.15483536562331088,0.08315678694540347
15.0,2000,0.14562293261531659,0.08176442418383766
15.0,5000,0.15028570278950737,0.08185762493603851
15.0,10000,0.1492960154283858,0.07592856989622011
15.0,15000,0.15945824072689396,0.09446863120289646
15.0,20000,0.17557462014190178,0.09911017993165436
15.0,30000,0.14807896417495714,0.07359450965524797
15.0,50000,0.15329413629620023,0.08137268162083236
20.0,1000,0.1476312480939324,0.06575613520943066
20.0,2000,0.1596705755054565,0.0747986848127418
20.0,5000,0.17024949602846637,0.08432034492634466
20.0,10000,0.15251410536568052,0.0813292122784891
20.0,15000,0.1445657051112903,0.06644217369199402
20.0,20000,0.15156322070426959,0.08477420921555281
20.0,30000,0.14561817825195386,0.06991186780015511
20.0,50000,0.14920887179313685,0.07307959514602157
60.0,1000,0.15157369665517048,0.06552989055169911
60.0,2000,0.16115489069914454,0.07867117632164805
60.0,5000,0.15849970830080373,0.06763444833589814
60.0,10000,0.15320249129819882,0.0796514828319324
60.0,15000,0.16796720344774368,0.09870800275630065
60.0,20000,0.15432010575190888,0.07872099881831549
60.0,30000,0.15404061745170353,0.08446168839158635
60.0,50000,0.14670512431800298,0.07324431737191069
