N,n,Sample Entropy,Std
100,1000,0.02520654552800766,0.03889315258949774
100,2000,0.03237874141044562,0.04151126457532911
100,5000,0.025390446522156326,0.032957952333209396
100,10000,0.023530616183852368,0.03343517188555696
100,15000,0.0258287975306099,0.03501364574320975
100,20000,0.02673569427528465,0.035893683402510784
100,30000,0.021114014973466134,0.026300921264732068
100,50000,0.02377507342815172,0.02838892246307775
500,1000,0.003272287459994855,0.004038423265110236
500,2000,0.0042068140675841584,0.005273203231765203
500,5000,0.004505871241355753,0.005184598697418371
500,10000,0.004663867893630791,0.006186541776871179
500,15000,0.003909991045387075,0.005231847075390028
500,20000,0.004583314588010704,0.005518959675479558
500,30000,0.0031726975078062935,0.0041807610937514604
500,50000,0.005216262023016763,0.00746401628500373
1000,1000,0.0029489668187717604,0.00392421287619954
1000,2000,0.002147892713003521,0.0027629134314449745
1000,5000,0.0024778988575457368,0.003103741501367967
1000,10000,0.002796565361300367,0.003521756441446974
1000,15000,0.0021666716186448877,0.002524391789091776
1000,20000,0.0021878235112375204,0.002727660499669406
1000,30000,0.0019243505374718075,0.002368771840026983
1000,50000,0.0022256084555549315,0.0025429138633401567
2000,1000,0.0008893257549113905,0.0009950291336189546
2000,2000,0.0012446940984189364,0.001520478205541195
2000,5000,0.0011026951885839277,0.001330592709406502
2000,10000,0.0008792643987576172,0.0010951945601063223
2000,15000,0.00141298668952266,0.0017843602491494233
2000,20000,0.0011949232884722889,0.0016426733279962227
2000,30000,0.0015755423887698417,0.0018673967303064192
2000,50000,0.0012159599955070797,0.0016444190743928123
5000,1000,0.0004705253705134924,0.0005388230078903246
5000,2000,0.0004273821525393028,0.0004938384901416195
5000,5000,0.000505435734415218,0.0006405435040654376
5000,10000,0.00042351087261519493,0.0005340387450700982
5000,15000,0.0005591833516034011,0.0007818260094092181
5000,20000,0.0003968340979086757,0.0004522696411768927
5000,30000,0.00047791656166931256,0.000620509470636735
5000,50000,0.0003799262442909064,0.0004187252107976332
10000,1000,0.00022864735899506407,0.00029811973201136706
10000,2000,0.00021390477033949651,0.000254479012341956
10000,5000,0.0002265920826029741,0.00024534041672859204
10000,10000,0.0002435003800063087,0.00031985012752741256
10000,15000,0.00022890621604570245,0.0003085116482449587
10000,20000,0.00017398419233826903,0.0001805591914142114
10000,30000,0.00022610142687425595,0.00027157853437121223
10000,50000,0.00019326495868401207,0.0002103317003309629
