T,n,Sample Entropy,Std
0.01,1000,0.0019901075876440667,0.002158580788355506
0.01,2000,0.0025888992530774414,0.002937431637618471
0.01,5000,0.0023280890559946067,0.0024653988246999387
0.01,10000,0.0022904158355961583,0.002638272520095211
0.01,15000,0.003181655403492546,0.003421963600339939
0.01,20000,0.0023417967435503677,0.0027732037518426824
0.01,30000,0.002398228033456165,0.002253892106243371
0.01,50000,0.0024696448619861977,0.002706340311745397
0.1,1000,0.002075684653820222,0.0027088034398899488
0.1,2000,0.0023600366823829074,0.0024544076262798375
0.1,5000,0.002423094015899369,0.003048939714496604
0.1,10000,0.002748955425777214,0.003198056253280144
0.1,15000,0.0022726469360256113,0.0025710453458483618
0.1,20000,0.0021070751878785217,0.0026965358220035576
0.1,30000,0.0024566148828172856,0.0033031580939493358
0.1,50000,0.0022564370334417876,0.0025625902881337747
0.5,1000,0.0020035410860071057,0.0021066595331423383
0.5,2000,0.0023604757218990743,0.0033788553850967675
0.5,5000,0.0024930102890766983,0.0031485082037789294
0.5,10000,0.0020517587258254014,0.002671196147535102
0.5,15000,0.002241620880746918,0.0023755087769312382
0.5,20000,0.002399195236798608,0.003161322819491822
0.5,30000,0.0022012395117466483,0.0024802968985159273
0.5,50000,0.002362944869200553,0.0026732369216271802
1.0,1000,0.0021770871988124356,0.002593297003311216
1.0,2000,0.0017443687432809121,0.0020637385293776917
1.0,5000,0.002200829753114053,0.0024265269651763672
1.0,10000,0.0021669737182289607,0.0028042468795533844
1.0,15000,0.0021681514542576824,0.002405369141257354
1.0,20000,0.002293531822141246,0.0031734066451761253
1.0,30000,0.0019494428893568761,0.0022793919428822224
1.0,50000,0.0022781891125895825,0.002519290470572956
10.0,1000,0.002681562136939922,0.0030336472935526743
10.0,2000,0.0019311275017074691,0.0025819741732412914
10.0,5000,0.002026525451513719,0.002366187582841454
10.0,10000,0.002781894425633173,0.0030210622043453286
10.0,15000,0.002316389616228542,0.0026611271831485836
10.0,20000,0.0020490799571361573,0.0026657437390737206
10.0,30000,0.00259353931499985,0.0031070297758018254
10.0,50000,0.0024837907339672373,0.0029284044415321397
15.0,1000,0.002179129353240895,0.0030022065644779478
15.0,2000,0.0025442027743436645,0.002717126920077472
15.0,5000,0.002325352705169857,0.002591360255447981
15.0,10000,0.0023955336771885978,0.002906953547670399
15.0,15000,0.0017229351912635218,0.0017924965050476914
15.0,20000,0.002482392530670502,0.003245302737766038
15.0,30000,0.002082677388003982,0.002867370832632814
15.0,50000,0.002382288498677217,0.0025879219395781986
20.0,1000,0.0020099904736043325,0.0025384541249970894
20.0,2000,0.0023584874582889552,0.0026452057591428656
20.0,5000,0.0018482786514748344,0.0020443412509567834
20.0,10000,0.002396516718040806,0.0028851415116927072
20.0,15000,0.002398009191881813,0.003682937530606196
20.0,20000,0.0024088603403403957,0.0028271010100312656
20.0,30000,0.0023507332003964375,0.00290104739282623
20.0,50000,0.002101393155732301,0.0024770993754701306
60.0,1000,0.0024118568189996493,0.003043331225848751
60.0,2000,0.002210718519920263,0.003270984414589639
60.0,5000,0.0025181294390568794,0.002776207475264276
60.0,10000,0.0026058884507125734,0.003420581252203586
60.0,15000,0.0021547647580040055,0.0026433095509703743
60.0,20000,0.0023731253999992163,0.0029013278145311925
60.0,30000,0.0025247585768967567,0.002574877818931035
60.0,50000,0.0019295730770705734,0.002023610179186598
