T,n,Sample Entropy,Std
0.01,1000,0.0011733891433597752,0.0014280138160856165
0.01,2000,0.001187436365028277,0.0016057181215715375
0.01,5000,0.0009693795286821827,0.001057810818157463
0.01,10000,0.0009102381358028678,0.0009597380607857059
0.01,15000,0.000991371834966752,0.0013287151488851484
0.01,20000,0.0009746123772603639,0.0009900154533235722
0.01,30000,0.0011922592634502184,0.0014359409267377245
0.01,50000,0.001172805100627902,0.0014661483518657653
0.1,1000,0.0011881348666843998,0.0015370978536104415
0.1,2000,0.0011207866769946352,0.0014452164995846096
0.1,5000,0.0010557906346439355,0.0014257446292305445
0.1,10000,0.0011894133208913838,0.0016947938441701073
0.1,15000,0.0011632516019800295,0.0014702626275330853
0.1,20000,0.001025841910274619,0.001428125382214314
0.1,30000,0.001028416430222908,0.0012116732428676777
0.1,50000,0.00093292845247476,0.0012523639599024685
0.5,1000,0.0011571866711630337,0.0014163326136997325
0.5,2000,0.0011807025027098328,0.0015353779294913006
0.5,5000,0.0010658354015564086,0.0013281528919386624
0.5,10000,0.0010984573699281941,0.0012692765826326784
0.5,15000,0.001054706778966413,0.0013735777271302642
0.5,20000,0.0010646099113680698,0.0011744646140003057
0.5,30000,0.0011478802404779702,0.001796610928150655
0.5,50000,0.0010122135145136488,0.0012668692509777363
1.0,1000,0.001198705173815095,0.0016965546267496512
1.0,2000,0.0011547254799084597,0.001498098066176257
1.0,5000,0.0011645391790167056,0.0013711010098056402
1.0,10000,0.0012063821331614636,0.00153931769949417
1.0,15000,0.0012695116494940743,0.001616219668633917
1.0,20000,0.0012808008044128511,0.0015835183040807037
1.0,30000,0.0011913668161529353,0.0016966861517027259
1.0,50000,0.0009378172586819476,0.0010702359298881729
10.0,1000,0.0011660831644485555,0.0015584702043062706
10.0,2000,0.0009088425844992713,0.0010249884501933879
10.0,5000,0.0010823978338640947,0.0014347039325776066
10.0,10000,0.0011451434331217361,0.0013247776081963042
10.0,15000,0.0009301100874167716,0.0010365079064554848
10.0,20000,0.0011788124975575954,0.0017283471028521206
10.0,30000,0.0009270493988301125,0.00110138836587378
10.0,50000,0.0017311596176090064,0.0022443124655563626
15.0,1000,0.0011351944952496824,0.0014427057159080228
15.0,2000,0.00114604073322963,0.0014603442281613244
15.0,5000,0.001068104067815876,0.0014111497028200374
15.0,10000,0.001162831458676923,0.0015983555517950854
15.0,15000,0.0013465680474923,0.0016608685421215235
15.0,20000,0.001160644810162941,0.0013635777542168874
15.0,30000,0.0008569165752008363,0.0009367053077845201
15.0,50000,0.0011833313197798776,0.0015453504099507088
20.0,1000,0.0009869967280959624,0.001345562315450659
20.0,2000,0.001282203023280151,0.0018720297388070501
20.0,5000,0.001131438593842237,0.0013755230097753618
20.0,10000,0.001106188011441725,0.0013060958874900183
20.0,15000,0.0012349959543605056,0.001407972733136805
20.0,20000,0.0012103054974006943,0.0015466962779873466
20.0,30000,0.001247502477709918,0.001455151959758737
20.0,50000,0.0008932280046157268,0.0009188150370556109
60.0,1000,0.0012510163211498487,0.0016465384969435626
60.0,2000,0.0012514271914294242,0.0017412762741598486
60.0,5000,0.0011789198105504812,0.0014097276161279223
60.0,10000,0.0014541530439765133,0.0017675942668315308
60.0,15000,0.001323921325358455,0.001478585301980204
60.0,20000,0.0011356829676484092,0.0013576590184890159
60.0,30000,0.0009967478336953292,0.0012103228369896913
60.0,50000,0.0012165733785479372,0.0017512365296918184
