N,n,Sample Entropy,Std
100,1000,0.6762076771949175,0.26107835832829246
100,2000,0.6333582700633208,0.22887932781520326
100,5000,0.6459322435493456,0.23411371011175608
100,10000,0.6440215857965589,0.25024873834080047
100,15000,0.6133013317267785,0.22491644811924616
100,20000,0.6693286094150007,0.2328750899834463
100,30000,0.6889590434574419,0.2720645382558375
100,50000,0.6372887541718704,0.23585488615404
500,1000,0.33497919674219107,0.15052135955045168
500,2000,0.3209812231308504,0.1549277960863405
500,5000,0.3135532705114038,0.13835408704058302
500,10000,0.3242944191350234,0.14167354167343113
500,15000,0.3100264102378911,0.1462037210175173
500,20000,0.34691203986200575,0.1526580945810856
500,30000,0.3173012150131803,0.14039253684776254
500,50000,0.33932964498481205,0.1614079514662179
1000,1000,0.21749969017048276,0.11209954644920014
1000,2000,0.20947498101035214,0.1011921175732876
1000,5000,0.22712251740035178,0.10389434869373526
1000,10000,0.22810478661512568,0.11054687526875201
1000,15000,0.2261779865234621,0.11270101984630564
1000,20000,0.23893939538782802,0.13026535955323523
1000,30000,0.22135789456719185,0.11993795350922724
1000,50000,0.21260220786759335,0.10267516081690435
2000,1000,0.13640073526665752,0.07237240252338172
2000,2000,0.14201403662421125,0.06944676239981308
2000,5000,0.14288354562767738,0.0750754992776926
2000,10000,0.14993347856007364,0.07383604870226165
2000,15000,0.1461621026838575,0.07500072394307623
2000,20000,0.13653505421056517,0.06849156643801584
2000,30000,0.1538326468546901,0.08579995235466883
2000,50000,0.14821324253342144,0.07452703502530214
5000,1000,0.08744540683192566,0.052335224837071675
5000,2000,0.07637312740752467,0.034758234781838766
5000,5000,0.08489336095742335,0.04111855455930585
5000,10000,0.08078163681670542,0.040023791762516824
5000,15000,0.08579926000160248,0.03930287850674745
5000,20000,0.0767296708735863,0.037009551866843286
5000,30000,0.08693250325348814,0.04322382085670715
5000,50000,0.08772146609872522,0.04568315163781141
10000,1000,0.051748902139874445,0.026419329105942142
10000,2000,0.05765705263722082,0.027695311763099018
10000,5000,0.05749645833079664,0.02597275756629813
10000,10000,0.055372807184763694,0.023284372798164005
10000,15000,0.058954300920079854,0.027791777410652724
10000,20000,0.0592353444363218,0.02807512772834879
10000,30000,0.05255402277543084,0.021610554543885316
10000,50000,0.054495922259776064,0.023149144626834792
